Diameter_in,Height_ft,Volume_ft^3,Lucky_Number
8.3,70,10.3,2
8.6,65,10.3,5
8.8,63,10.2,3
10.5,72,16.4,7
10.7,81,18.8,9
10.8,83,19.7,7
11,66,15.6,5
11,75,18.2,7
11.1,80,22.6,6
11.2,75,19.9,3
11.3,79,24.2,7
11.4,76,21,9
11.4,76,21.4,2
11.7,69,21.3,6
12,75,19.1,8
12.9,74,22.2,4
12.9,85,33.8,3
13.3,86,27.4,2
13.7,71,25.7,6
13.8,64,24.9,8
14,78,34.5,9
14.2,80,31.7,3
14.5,74,36.3,5
16,72,38.3,7
16.3,77,42.6,9
17.3,81,55.4,1
17.5,82,55.7,2
17.9,80,58.3,5
18,80,51.5,9
18,80,51,9
20.6,87,77,7
