USGS_Nr,Station_Name_Location,ArcGIS_area_km2
1505000,CHENANGO RIVER AT SHERBURNE NY,677.423
4244000,CHITTENANGO CREEK NEAR CHITTENANGO NY,175.371
4227995,CONESUS CREEK NEAR LAKEVILLE NY,187.579
4243783,COWASELON CREEK AT STATE ROUTE 13 AT CANASTOTA NY,107.288
4235250,FLINT CREEK AT PHELPS NY,262.785
4234254,GANARGUA CREEK AT MACEDON NY,296.831
4240100,HARBOR BROOK AT SYRACUSE NY,31.2004
4229500,HONEOYE CREEK AT HONEOYE FALLS NY,502.857
4240300,NINEMILE CREEK AT LAKELAND NY,298.133
4230500,OATKA CREEK AT GARBUTT NY,530.644
4243500,ONEIDA CREEK AT ONEIDA NY,295.137
1338000,ORISKANY CREEK NEAR ORISKANY NY,373.741
1510000,OTSELIC RIVER AT CINCINNATUS NY,380.626
423401815,SALMON CREEK NEAR LUDLOWVILLE NY,229.609
1339060,SAUQUOIT CREEK AT WHITESBORO NY,155.12
4245840,SCRIBA CREEK NEAR CONSTANTIA NY,106.426
4233300,"SIXMILE CREEK AT BETHEL GROVE, NY",125.8
4236800,SKANEATELES CREEK NEAR SKANEATELES JUNCTION NY,193.378
